store_id,item_id,wm_yr_wk,sell_price
store_10,item_38,201800,12.14
store_3,item_10,201801,10.42
store_10,item_50,201802,10.29
store_9,item_23,201803,27.15
store_8,item_37,201804,4.71
store_5,item_26,201805,11.18
store_1,item_26,201806,0
store_8,item_18,201807,1.99
store_5,item_18,201808,85.97
store_2,item_15,201809,8
store_6,item_18,201810,60.89
store_2,item_13,201811,21.93
store_7,item_48,201812,76.19
store_6,item_4,201813,5.66
store_3,item_50,201814,9.67
store_4,item_4,201815,0
store_6,item_46,201816,7.74
store_9,item_26,201817,10.18
store_4,item_24,201818,59.81
store_3,item_31,201819,17.87
store_2,item_19,201820,9.89
store_3,item_37,201821,0
store_4,item_18,201822,51.81
store_1,item_31,201823,0
store_4,item_17,201824,35.92
store_7,item_25,201825,0
store_8,item_20,201826,58.86
store_1,item_33,201827,28.51
store_5,item_44,201828,9.98
store_6,item_18,201829,43.21
store_5,item_13,201830,0
store_1,item_39,201831,66.39
store_3,item_47,201832,10.16
store_5,item_17,201833,41.06
store_1,item_38,201834,0
store_9,item_41,201835,90.75
store_6,item_33,201836,0
store_5,item_7,201837,13.67
store_5,item_47,201838,0
store_2,item_15,201839,11.94
store_7,item_22,201840,13.77
store_8,item_8,201841,6.31
store_10,item_38,201842,9.97
store_4,item_33,201843,10.37
store_7,item_34,201844,0
store_3,item_13,201845,21.05
store_3,item_21,201846,12.79
store_6,item_41,201847,0
store_1,item_29,201848,0
store_10,item_49,201849,0
store_3,item_40,201850,63.72
store_7,item_28,201851,38.95
store_1,item_35,201852,0
store_6,item_49,201853,0
store_4,item_15,201854,0
store_7,item_33,201855,0
store_5,item_19,201856,73.06
store_10,item_34,201857,0
store_6,item_32,201858,0
store_7,item_2,201859,0
store_4,item_47,201860,10.09
store_3,item_8,201861,0
store_7,item_41,201862,0
store_10,item_4,201863,10.15
store_1,item_4,201864,9.92
store_7,item_8,201865,0
store_4,item_45,201866,9.8
store_2,item_43,201867,0
store_7,item_7,201868,9.78
store_2,item_32,201869,0
store_9,item_13,201870,35.47
store_3,item_3,201871,91.13
store_8,item_22,201872,0
store_2,item_37,201873,15.77
store_2,item_50,201874,10.22
store_2,item_17,201875,0
store_5,item_30,201876,9.6
store_3,item_3,201877,18.65
store_7,item_48,201878,9.59
store_1,item_1,201879,0
store_6,item_23,201880,95.55
store_5,item_47,201881,9.87
store_6,item_12,201882,9.9
store_8,item_18,201883,69.3
store_8,item_27,201884,0
